,USGSid,NHDPlusid,NWM_rmse,MLP_rmse,NWM_pbias,MLP_pbias,NWM_kge,MLP__kge,NWM_mape,MLP_mape,Obs_vol,NWM_vol,MLP_vol,NWM_vol_err,MLP_vol_err,NWM_vol_Perc_diff,MLP_vol_Perc_diff
0,10105900.0,666170.0,14324.358776591584,38395.03722958188,-2.9200000000000013,-47.620333333333335,0.7800000000000001,0.359,27.830000000000005,168.2133333333333,37232.67966222298,50915.50799999999,91584.54817708333,13682.828337776999,54351.868514860354,36.7495126912927,145.9789330446897
1,10126000.0,4605050.0,352245.9851678044,685859.7519215511,-28.5,90.42033333333337,0.46000000000000035,-0.3346666666666667,50.05999999999997,88.54799999999997,655183.1887960505,1149487.5929999994,91584.54817708333,494304.40420394985,-563598.640618967,75.44522091787377,-86.02153569517297
2,10129900.0,10093082.0,8093.940319022424,65235.45200272191,-219.0,-1902.4383333333333,-2.0799999999999987,-23.894333333333332,220.63000000000008,2319.142666666666,3759.0727558374015,18822.636000000006,91584.54817708333,15063.563244162597,87825.47542124597,400.7255039363269,2336.360084674159
3,10133650.0,10276856.0,9281.957786058956,56810.28601803069,-94.32999999999996,-658.2123333333332,-0.3,-7.271000000000002,105.73,867.6463333333332,9663.116574508198,30161.43000000002,91584.54817708333,20498.3134254918,81921.43160257518,212.12942291897227,847.7744314778122
4,10133800.0,10276836.0,15797.010503845228,53950.67187019312,-93.53000000000004,-356.5166666666666,-0.3,-3.4886666666666666,108.76000000000008,494.65633333333335,18057.4988827713,47800.21500000001,91584.54817708333,29742.716117228723,73527.04929431206,164.71116133146373,407.18290928133115
5,10133980.0,10276712.0,31132.916925556576,45103.131903307185,-133.0300000000001,-202.75166666666664,-0.7300000000000003,-1.425666666666667,155.75,302.0333333333334,23337.537876306604,78025.101,91584.54817708333,54687.56312369344,68247.01030077676,234.33304495764693,292.4344918581338
6,10134500.0,10277268.0,48551.00610387138,50585.68016308049,-279.9799999999998,-309.2103333333333,-2.3500000000000005,-2.489,876.9199999999994,1142.4313333333334,37262.276125608005,96970.68300000003,91584.54817708333,59708.40687439196,54322.27205147533,160.23821699222023,145.78355833218433
7,10136500.0,10274616.0,288253.08382332145,134843.61162939414,-171.96,57.36,-0.9899999999999994,0.010333333333333335,359.1299999999999,67.16799999999999,172949.05329897598,490788.53400000004,91584.54817708333,317839.4807010239,-81364.50512189265,183.77636340777005,-47.045360220179035
8,10137500.0,10274270.0,24716.820524500105,32514.00740789867,39.6,-17.90666666666667,0.5399999999999996,0.579,41.049999999999976,131.4426666666667,54744.01437092402,39350.652,91584.54817708333,-15393.362370923993,36840.53380615934,-28.11880448997511,67.29600346175256
9,10140100.0,10275828.0,61435.32545782401,60135.97673712892,-95.65000000000005,-16.65366666666667,-0.010000000000000004,0.24933333333333335,535.25,535.7483333333333,28156.37796422249,119525.32500000006,91584.54817708333,91368.94703577753,63428.17021286081,324.50532931429376,225.2710568577293
10,10140700.0,10274376.0,44136.16573711352,78646.41409347135,-36.60000000000001,23.251333333333328,0.6300000000000002,0.18233333333333335,219.56000000000012,217.031,69646.01117269503,128776.02,91584.54817708333,59130.008827304984,21938.537004388352,84.90078301926813,31.500062437157105
11,10141000.0,10273232.0,509595.88397411036,150120.32764437163,-353.54999999999995,49.70466666666666,-2.87,-0.07866666666666669,921.4399999999997,93.95233333333336,120033.77070934196,685973.2410000003,91584.54817708333,565939.4702906576,-28449.222532258653,471.4835391292198,-23.701015442685346
12,10145400.0,10331031.0,3225.0325040254934,60337.14439090811,31.13,-898.5833333333334,0.5199999999999997,-8.844333333333333,28.220000000000017,1913.0483333333332,5799.237239187903,4021.524000000002,91584.54817708333,-1777.7132391878988,85785.31093789543,-30.654259618405295,1479.2516222341758
13,10149000.0,10349162.0,6448.95035514451,54518.42779351035,49.02999999999998,-423.95266666666674,0.36999999999999983,-4.726333333333333,53.70000000000003,463.9033333333333,13063.49756559601,8671.658999999992,91584.54817708333,-4391.838565596001,78521.05061148739,-33.61916319533247,601.0721877292661
14,10153100.0,10348934.0,6876.268070677236,49654.959353549915,-5.25,-237.1146666666667,0.6700000000000004,-1.6893333333333336,38.24,401.46199999999993,17670.778202453992,14955.786000000006,91584.54817708333,-2714.992202453999,73913.76997462931,-15.36430468057688,418.2824838148026
15,10155000.0,10373622.0,55742.85654207038,97110.70767532941,30.26999999999999,55.05,0.59,0.12933333333333338,33.88,56.86,181010.801016738,126493.58699999996,91584.54817708333,-54517.21401673796,-89426.25283965467,-30.118210466179217,-49.403821394826856
16,10155200.0,10373794.0,41991.03380016414,48273.91396228587,-6.419999999999996,32.496,0.7899999999999995,0.40566666666666656,40.88000000000002,29.610000000000003,166897.77931250408,134740.88400000005,91584.54817708333,-32156.89531250402,-75313.23113542068,-19.26741952167772,-45.12536442704973
17,10157500.0,10375690.0,33281.594639573006,57875.4113509677,-1245.3899999999996,-2346.145,-13.269999999999998,-24.541999999999998,3133.100000000001,7799.7986666666675,766.7680773168835,39558.86699999999,89244.79661458333,38792.09892268314,88478.02853726647,5059.169789439659,11539.086088048096
18,10164500.0,10329013.0,27272.0515845539,50462.456051412264,-139.65999999999994,-284.45733333333334,-0.7300000000000003,-2.1573333333333338,153.31,725.6693333333332,19609.368808388997,59842.97399999998,91584.54817708333,40233.605191610994,71975.17936869437,205.1754219360637,367.04485530356766
19,10171000.0,10390290.0,1474402.785216979,20030.33761207684,-3049.0800000000013,-42.186,-40.419999999999995,0.48800000000000004,3175.5399999999986,50.718,81024.87202282202,1912801.799999999,91584.54817708333,1831776.9279771768,10559.676154261322,2260.758804359763,13.032635400259586
